code,code_name,ipoDate,outDate,type,status
sh.688001,华兴源创,2019-07-22,,1,1
sh.688002,睿创微纳,2019-07-22,,1,1
sh.688003,天准科技,2019-07-22,,1,1
sh.688004,博汇科技,2020-06-12,,1,1
sh.688005,容百科技,2019-07-22,,1,1
sh.688006,杭可科技,2019-07-22,,1,1
sh.688007,光峰科技,2019-07-22,,1,1
sh.688008,澜起科技,2019-07-22,,1,1
sh.688009,中国通号,2019-07-22,,1,1
sh.688010,福光股份,2019-07-22,,1,1
sh.688011,新光光电,2019-07-22,,1,1
sh.688012,中微公司,2019-07-22,,1,1
sh.688013,天臣医疗,2020-09-28,,1,1
sh.688015,交控科技,2019-07-22,,1,1
sh.688016,心脉医疗,2019-07-22,,1,1
sh.688017,绿的谐波,2020-08-28,,1,1
sh.688018,乐鑫科技,2019-07-22,,1,1
sh.688019,安集科技,2019-07-22,,1,1
sh.688020,方邦股份,2019-07-22,,1,1
sh.688021,奥福科技,2019-11-06,,1,1
sh.688022,ST瀚川,2019-07-22,,1,1
sh.688023,安恒信息,2019-11-05,,1,1
sh.688025,杰普特,2019-10-31,,1,1
sh.688026,洁特生物,2020-01-22,,1,1
sh.688027,国盾量子,2020-07-09,,1,1
sh.688028,沃尔德,2019-07-22,,1,1
sh.688029,南微医学,2019-07-22,,1,1
sh.688030,山石网科,2019-09-30,,1,1
sh.688031,星环科技,2022-10-18,,1,1
sh.688032,禾迈股份,2021-12-20,,1,1
sh.688033,*ST天宜,2019-07-22,,1,1
sh.688035,德邦科技,2022-09-19,,1,1
sh.688036,传音控股,2019-09-30,,1,1
sh.688037,芯源微,2019-12-16,,1,1
sh.688038,中科通达,2021-07-13,,1,1
sh.688039,当虹科技,2019-12-11,,1,1
sh.688041,海光信息,2022-08-12,,1,1
sh.688045,必易微,2022-05-26,,1,1
sh.688046,药康生物,2022-04-25,,1,1
sh.688047,龙芯中科,2022-06-24,,1,1
sh.688048,长光华芯,2022-04-01,,1,1
sh.688049,炬芯科技,2021-11-29,,1,1
sh.688050,爱博医疗,2020-07-29,,1,1
sh.688051,佳华科技,2020-03-20,,1,1
sh.688052,纳芯微,2022-04-22,,1,1
sh.688053,ST思科瑞,2022-07-08,,1,1
sh.688055,龙腾光电,2020-08-17,,1,1
sh.688056,莱伯泰科,2020-09-02,,1,1
sh.688057,金达莱,2020-11-11,,1,1
sh.688058,宝兰德,2019-11-01,,1,1
sh.688059,华锐精密,2021-02-08,,1,1
sh.688060,云涌科技,2020-07-10,,1,1
sh.688061,灿瑞科技,2022-10-18,,1,1
sh.688062,迈威生物,2022-01-18,,1,1
sh.688063,派能科技,2020-12-30,,1,1
sh.688065,凯赛生物,2020-08-12,,1,1
sh.688066,*ST航图,2019-07-22,,1,1
sh.688067,爱威科技,2021-06-16,,1,1
sh.688068,热景生物,2019-09-30,,1,1
sh.688069,德林海,2020-07-22,,1,1
sh.688070,纵横股份,2021-02-10,,1,1
sh.688071,华依科技,2021-07-29,,1,1
sh.688072,拓荆科技,2022-04-20,,1,1
sh.688073,毕得医药,2022-10-11,,1,1
sh.688075,安旭生物,2021-11-18,,1,1
sh.688076,ST诺泰,2021-05-20,,1,1
sh.688077,大地熊,2020-07-22,,1,1
sh.688078,龙软科技,2019-12-30,,1,1
sh.688079,美迪凯,2021-03-02,,1,1
sh.688080,映翰通,2020-02-12,,1,1
sh.688081,兴图新科,2020-01-06,,1,1
sh.688082,盛美上海,2021-11-18,,1,1
sh.688083,中望软件,2021-03-11,,1,1
sh.688084,晶品特装,2022-12-08,,1,1
sh.688085,三友医疗,2020-04-09,,1,1
sh.688087,英科再生,2021-07-09,,1,1
sh.688088,虹软科技,2019-07-22,,1,1
sh.688089,嘉必优,2019-12-19,,1,1
sh.688090,瑞松科技,2020-02-17,,1,1
sh.688091,上海谊众,2021-09-09,,1,1
sh.688092,爱科科技,2021-03-19,,1,1
sh.688093,世华科技,2020-09-30,,1,1
sh.688095,福昕软件,2020-09-08,,1,1
sh.688096,京源环保,2020-04-09,,1,1
sh.688097,博众精工,2021-05-12,,1,1
sh.688098,申联生物,2019-10-28,,1,1
sh.688099,晶晨股份,2019-08-08,,1,1
sh.688100,威胜信息,2020-01-21,,1,1
sh.688101,三达膜,2019-11-15,,1,1
sh.688102,斯瑞新材,2022-03-16,,1,1
sh.688103,国力电子,2021-09-10,,1,1
sh.688105,诺唯赞,2021-11-15,,1,1
sh.688106,金宏气体,2020-06-16,,1,1
sh.688107,安路科技,2021-11-12,,1,1
sh.688108,赛诺医疗,2019-10-30,,1,1
sh.688109,品茗科技,2021-03-30,,1,1
sh.688110,东芯股份,2021-12-10,,1,1
sh.688111,金山办公,2019-11-18,,1,1
sh.688112,鼎阳科技,2021-12-01,,1,1
sh.688113,联测科技,2021-05-06,,1,1
sh.688114,华大智造,2022-09-09,,1,1
sh.688115,思林杰,2022-03-14,,1,1
sh.688116,天奈科技,2019-09-25,,1,1
sh.688117,圣诺生物,2021-06-03,,1,1
sh.688118,普元信息,2019-12-04,,1,1
sh.688119,中钢洛耐,2022-06-06,,1,1
sh.688120,华海清科,2022-06-08,,1,1
sh.688121,卓然股份,2021-09-06,,1,1
sh.688122,西部超导,2019-07-22,,1,1
sh.688123,聚辰股份,2019-12-23,,1,1
sh.688125,安达智能,2022-04-15,,1,1
sh.688126,沪硅产业,2020-04-20,,1,1
sh.688127,蓝特光学,2020-09-21,,1,1
sh.688128,中国电研,2019-11-05,,1,1
sh.688129,东来技术,2020-10-23,,1,1
sh.688130,晶华微,2022-07-29,,1,1
sh.688131,皓元医药,2021-06-08,,1,1
sh.688132,邦彦技术,2022-09-23,,1,1
sh.688133,泰坦科技,2020-10-30,,1,1
sh.688135,利扬芯片,2020-11-11,,1,1
sh.688136,科兴制药,2020-12-14,,1,1
sh.688137,近岸蛋白,2022-09-29,,1,1
sh.688138,清溢光电,2019-11-20,,1,1
sh.688139,海尔生物,2019-10-25,,1,1
sh.688141,杰华特,2022-12-23,,1,1
sh.688143,长盈通,2022-12-12,,1,1
sh.688146,中船特气,2023-04-21,,1,1
sh.688147,微导纳米,2022-12-23,,1,1
sh.688148,芳源股份,2021-08-06,,1,1
sh.688150,莱特光电,2022-03-18,,1,1
sh.688151,华强科技,2021-12-06,,1,1
sh.688152,麒麟信安,2022-10-28,,1,1
sh.688153,唯捷创芯,2022-04-12,,1,1
sh.688155,先惠技术,2020-08-11,,1,1
sh.688156,路德科技,2020-09-22,,1,1
sh.688157,松井股份,2020-06-09,,1,1
sh.688158,优刻得,2020-01-20,,1,1
sh.688159,有方科技,2020-01-23,,1,1
sh.688160,步科股份,2020-11-12,,1,1
sh.688161,威高骨科,2021-06-30,,1,1
sh.688162,巨一科技,2021-11-10,,1,1
sh.688163,赛伦生物,2022-03-11,,1,1
sh.688165,埃夫特,2020-07-15,,1,1
sh.688166,博瑞医药,2019-11-08,,1,1
sh.688167,炬光科技,2021-12-24,,1,1
sh.688168,安博通,2019-09-06,,1,1
sh.688169,石头科技,2020-02-21,,1,1
sh.688170,德龙激光,2022-04-29,,1,1
sh.688171,纬德信息,2022-01-27,,1,1
sh.688172,燕东微,2022-12-16,,1,1
sh.688173,希荻微,2022-01-21,,1,1
sh.688175,高凌信息,2022-03-15,,1,1
sh.688176,亚虹医药,2022-01-07,,1,1
sh.688177,百奥泰,2020-02-21,,1,1
sh.688178,万德斯,2020-01-14,,1,1
sh.688179,阿拉丁,2020-10-26,,1,1
sh.688180,君实生物,2020-07-15,,1,1
sh.688181,八亿时空,2020-01-06,,1,1
sh.688182,灿勤科技,2021-11-16,,1,1
sh.688183,生益电子,2021-02-25,,1,1
sh.688184,ST帕瓦,2022-09-19,,1,1
sh.688185,康希诺,2020-08-13,,1,1
sh.688186,广大特材,2020-02-11,,1,1
sh.688187,时代电气,2021-09-07,,1,1
sh.688188,柏楚电子,2019-08-08,,1,1
sh.688189,南新制药,2020-03-26,,1,1
sh.688190,云路股份,2021-11-26,,1,1
sh.688191,智洋创新,2021-04-08,,1,1
sh.688192,迪哲医药,2021-12-10,,1,1
sh.688193,仁度生物,2022-03-30,,1,1
sh.688195,腾景科技,2021-03-26,,1,1
sh.688196,卓越新能,2019-11-21,,1,1
sh.688197,首药控股,2022-03-23,,1,1
sh.688198,佰仁医疗,2019-12-09,,1,1
sh.688199,久日新材,2019-11-05,,1,1
sh.688200,华峰测控,2020-02-18,,1,1
sh.688201,ST信安,2021-04-21,,1,1
sh.688202,美迪西,2019-11-05,,1,1
sh.688203,海正生材,2022-08-16,,1,1
sh.688205,德科立,2022-08-09,,1,1
